shader,stage,median_us,lo_us,hi_us
arrays,hlsl,7.535875862540139,7.5120304084488145,7.591703835380305
atan2-const-eval,hlsl,232.81707264957262,231.66069734345353,233.9318181818182
atomic_add,hlsl,5.172914052311705,5.139408706952567,5.210131578947368
branches,hlsl,9.141279069767442,9.091111111111111,9.213469047210754
cluster-lights,hlsl,58.34267275331185,57.81473684210526,58.94358712715855
empty_compute,hlsl,0.9960171568627451,0.9944891037810474,1.001199669056812
loop_accum,hlsl,7.838736002966258,7.702733333333334,7.932
mat_vec,hlsl,12.779990854455187,12.544160091362127,12.959020235578375
metaball-isosurface,hlsl,91.2,90.82793471437539,91.925005005005
particles,hlsl,77.16446444249343,76.47931034482758,77.56985119047619
shadow-fragment,hlsl,28.441691928760893,24.409819967266777,34.256660412757974
skinned-shadowed-pbr-fragment,hlsl,168.16384863123994,167.20597014925372,169.2263150609081
skinned-shadowed-pbr-vertex,hlsl,39.40282738095238,39.262969348659006,39.525454545454544
texture_sample,hlsl,8.440315789473683,8.11947619047619,8.730441176470588
torture-big-array,hlsl,821.909423076923,733.5631820499746,870.099317617866
torture-big-expr,hlsl,1176.1970588235295,1173.2235294117647,1180.9705882352941
torture-deep-nest,hlsl,120.3847322759208,119.99147250698975,120.79879518072289
torture-many-bindings,hlsl,52.804820201276385,52.71875,52.96810763888889
uniform_struct,hlsl,8.39345415929923,8.02437641723356,8.650949268596326
uniformity-analysis-pointer-parameters,hlsl,315.84409375,314.3021126760563,317.36470588235295
unity_webgpu_0000017e9e2d81a0.vs,hlsl,751.5475,732.76,798.2875
unity_webgpu_0000017e9e2d81a0.vs.spv,hlsl,519.3497435897436,517.6024691358025,521.939024390244
unity_webgpu_000002778de78280.cs,hlsl,66.36836419753087,66.09551282051281,66.7238425925926
unity_webgpu_000002778de78280.cs.spv,hlsl,48.36104820723966,48.02275985663082,48.590087145969505
unity_webgpu_000002778f740030.fs,hlsl,2048.865,1980.98,2155.035
unity_webgpu_000002778f740030.fs.spv,hlsl,1460.825,1442.9857142857143,1485.0321428571426
arrays,hlsl_full,54.29814666238768,53.97547134238311,55.1080078125
atan2-const-eval,hlsl_full,15877.15,15818.8,16005.6
atomic_add,hlsl_full,43.13972372915411,42.626519916142556,43.445
branches,hlsl_full,89.14340909090909,88.60647940074905,89.47356357927787
cluster-lights,hlsl_full,424.94608695652175,421.62279411764706,427.61643361048124
empty_compute,hlsl_full,6.225807521076064,5.646074929971989,7.849543610547667
loop_accum,hlsl_full,85.761960950764,79.96235294117648,87.7297142857143
mat_vec,hlsl_full,49.23884871311989,48.04069444444445,50.71447811447811
metaball-isosurface,hlsl_full,807.432,801.78,819.036
particles,hlsl_full,559.0334337349398,552.2837209302326,565.2784472049689
shadow-fragment,hlsl_full,177.4220238095238,167.5675,190.60203703703704
skinned-shadowed-pbr-fragment,hlsl_full,1355.9166666666667,1349.5266666666666,1361.6266666666668
skinned-shadowed-pbr-vertex,hlsl_full,248.05471951219513,246.99924242424242,250.38277744087327
texture_sample,hlsl_full,42.72108461898084,41.70450885668277,43.4008547008547
torture-big-array,hlsl_full,4192.11,4160.62,4212.95
torture-big-expr,hlsl_full,29450.35,29382.9,29548.55
torture-deep-nest,hlsl_full,539.2219047619047,537.5063829787234,541.7408212560387
torture-many-bindings,hlsl_full,411.92907196969696,411.0341001011122,413.89905565601765
uniform_struct,hlsl_full,61.95138888888889,58.98898809523809,63.18485714285715
uniformity-analysis-pointer-parameters,hlsl_full,1697.5208333333335,1677.725,1719.9333333333332
unity_webgpu_0000017e9e2d81a0.vs,hlsl_full,8883.683333333332,8775.966666666665,8970.833333333334
unity_webgpu_0000017e9e2d81a0.vs.spv,hlsl_full,6247.75,5687.9625,6624.725
unity_webgpu_000002778de78280.cs,hlsl_full,600.3534935897435,598.9564705882353,602.3146152296536
unity_webgpu_000002778de78280.cs.spv,hlsl_full,433.51529304029305,432.25719613865726,437.3776595744681
unity_webgpu_000002778f740030.fs,hlsl_full,35728.95,35558.1,35921.8
unity_webgpu_000002778f740030.fs.spv,hlsl_full,22762.2,22508.0,23080.6
arrays,msl,10.429810747928725,10.391965352449224,10.50328282828283
atan2-const-eval,msl,228.13865075858007,227.22090773809524,229.96511363636364
atomic_add,msl,9.193825379775971,9.12468671679198,9.244088203463203
branches,msl,12.977461799660443,12.944578853046595,13.047465437788018
cluster-lights,msl,71.91486111111111,71.52570757631938,72.50833333333333
empty_compute,msl,2.4532098949038272,2.4054283927454656,2.4835175304878048
loop_accum,msl,13.479919672131148,13.131041666666667,13.776313390313389
mat_vec,msl,13.005128339444735,12.651029748283753,13.960643402788403
metaball-isosurface,msl,116.91415616647576,115.70416666666667,117.48125
particles,msl,139.15658771929827,138.03083285523047,140.01349206349207
shadow-fragment,msl,34.85722222222222,30.53451612903226,39.32564347826087
skinned-shadowed-pbr-fragment,msl,211.10357142857143,209.88922826729743,212.60887096774195
skinned-shadowed-pbr-vertex,msl,46.875368679775285,46.598907103825134,47.10782472613458
texture_sample,msl,10.301224927757946,10.157426346585325,10.522297297297296
torture-big-array,msl,300.2935196560196,298.1679855072464,304.0700391006843
torture-big-expr,msl,5634.5125,5616.2875,5646.275
torture-deep-nest,msl,130.72278771760153,129.92301851236004,131.103375
torture-many-bindings,msl,80.5406207270754,80.34384615384616,80.75181405895692
uniform_struct,msl,15.835045784524006,15.377931034482758,16.07407642553867
uniformity-analysis-pointer-parameters,msl,757.7329545454546,754.0111111111112,763.0172413793103
unity_webgpu_0000017e9e2d81a0.vs,msl,1111.261111111111,1103.9055555555556,1120.9555555555555
unity_webgpu_0000017e9e2d81a0.vs.spv,msl,971.590909090909,950.2090909090908,1002.8772727272727
unity_webgpu_000002778de78280.cs,msl,85.26852433281005,84.72958333333332,85.54544444444444
unity_webgpu_000002778de78280.cs.spv,msl,62.0032967032967,61.22958102732619,63.03532818532819
unity_webgpu_000002778f740030.fs,msl,2658.8928571428573,2640.0,2690.0142857142855
unity_webgpu_000002778f740030.fs.spv,msl,2160.25,2148.9444444444443,2176.288888888889
arrays,msl_full,57.41314954947073,56.77330319040845,57.99892473118279
atan2-const-eval,msl_full,15811.1,15717.375,15912.8
atomic_add,msl_full,48.539782491944145,48.08449740783411,48.892466032608695
branches,msl_full,94.21621428571429,93.8021344888461,94.83582317073171
cluster-lights,msl_full,441.1171013412817,438.50212765957446,442.756
empty_compute,msl_full,8.504229293343354,7.273443223443223,10.936805267165006
loop_accum,msl_full,80.2071005154639,73.8225,85.30571428571429
mat_vec,msl_full,50.058787878787875,49.49199358974359,51.09358974358974
metaball-isosurface,msl_full,833.0541666666668,830.0416666666666,839.5458333333333
particles,msl_full,627.8461538461539,621.1640625,635.053448275862
shadow-fragment,msl_full,200.87373372948502,188.43005769230768,228.97051899411449
skinned-shadowed-pbr-fragment,msl_full,1397.7785714285715,1393.3142857142857,1407.1714285714286
skinned-shadowed-pbr-vertex,msl_full,252.90206876456878,252.3764790398918,254.64020964647847
texture_sample,msl_full,51.82324263038549,47.08290043290043,60.822321428571435
