shader,stage,median_us,lo_us,hi_us
arrays,hlsl,7.7875609485956545,7.781100392156863,7.795135964655055
atan2-const-eval,hlsl,290.73512977005873,290.3733137610977,291.0160434782609
atomic_add,hlsl,4.969408038194444,4.9644389375,4.972818588267544
branches,hlsl,9.910597463768116,9.902975023452157,9.922466636640799
cluster-lights,hlsl,65.18532165318958,65.10389714285715,65.21983293135436
empty_compute,hlsl,0.9722616338613329,0.9717229885057471,0.9728981181820496
loop_accum,hlsl,7.851988562091503,7.841962870254485,7.860969392635103
mat_vec,hlsl,7.519327978796313,7.514225478791318,7.524212244976223
metaball-isosurface,hlsl,106.16072095238094,106.07757379385966,106.39008552631579
particles,hlsl,84.57816610389611,84.47097309859156,84.80529298368297
shadow-fragment,hlsl,22.921246433933934,22.90716882237004,22.939691015089164
skinned-shadowed-pbr-fragment,hlsl,195.43332391826925,195.15077528089887,195.75982467532467
skinned-shadowed-pbr-vertex,hlsl,44.14752036320653,44.12976666666667,44.17010893246187
texture_sample,hlsl,5.409956732279101,5.40618414018414,5.4125159178659175
torture-big-array,hlsl,718.9002023273273,718.2967397260273,719.5904
torture-big-expr,hlsl,1510.2032857142858,1504.5770714285713,1512.7623928571427
torture-deep-nest,hlsl,147.7768952991453,141.6138130725863,150.22451212590298
torture-many-bindings,hlsl,65.38088724248566,65.34240146683673,65.43348333333334
uniform_struct,hlsl,4.6947762774603685,4.691925367647059,4.697601840510504
uniformity-analysis-pointer-parameters,hlsl,336.84481324569157,336.6909266489204,337.49689784946236
unity_webgpu_0000017E9E2D81A0.vs,hlsl,804.9934199999999,804.48224,805.3599199999999
unity_webgpu_0000017E9E2D81A0.vs.spv,hlsl,607.9414503432495,607.4055378205128,608.7345283119657
unity_webgpu_000002778DE78280.cs,hlsl,72.81002934210527,72.75436805555556,72.8875
unity_webgpu_000002778DE78280.cs.spv,hlsl,54.939401117886185,54.8929125,55.04435319767442
unity_webgpu_000002778F740030.fs,hlsl,2068.52795,2066.7581,2069.7427
unity_webgpu_000002778F740030.fs.spv,hlsl,1643.8136153846156,1641.8481538461538,1645.462846153846
arrays,msl,9.234117708333335,9.226085081585081,9.24252949134199
atan2-const-eval,msl,271.1865861629881,270.9273977272727,271.4401071428572
atomic_add,msl,7.842774364560639,7.837378959276018,7.8483283586161745
branches,msl,12.32703083881579,12.31466339066339,12.34051912568306
cluster-lights,msl,76.79369531628402,76.72622619047618,76.89107715482027
empty_compute,msl,1.6966032428908508,1.6954435232149825,1.6975068056407112
loop_accum,msl,10.044359375,10.03834732142857,10.05042996068455
mat_vec,msl,9.17052594422102,9.165558365577672,9.179172864846645
metaball-isosurface,msl,125.44095739962653,125.32306666666666,125.64416
particles,msl,152.31454034391535,152.06644961240312,152.51863376623373
shadow-fragment,msl,28.410737424300766,28.355177339901477,28.43071137026239
skinned-shadowed-pbr-fragment,msl,230.64908035714285,230.22667857142858,230.90376923076923
skinned-shadowed-pbr-vertex,msl,49.38938163265306,49.328875,49.44703571428572
texture_sample,msl,6.6016146289865185,6.596175357958082,6.606085887384177
torture-big-array,msl,376.31498295985057,376.18125,376.590890625
torture-big-expr,msl,6554.2055,6548.46,6559.5105
torture-deep-nest,msl,153.22177278402,146.0656833333333,154.0371869918699
torture-many-bindings,msl,90.39818539325843,90.3293945054945,90.47404583333334
uniform_struct,msl,7.52076545196695,7.515616028010115,7.526163362789587
uniformity-analysis-pointer-parameters,msl,823.2568200000001,822.96426,823.8737600000001
unity_webgpu_0000017E9E2D81A0.vs,msl,1202.9054411764705,1202.2668823529411,1203.711294117647
unity_webgpu_0000017E9E2D81A0.vs.spv,msl,1010.0859750000001,1008.86545,1011.73685
unity_webgpu_000002778DE78280.cs,msl,85.59911696969698,85.51854166666668,85.6991027027027
unity_webgpu_000002778DE78280.cs.spv,msl,64.55701147959184,64.51892811530743,64.62109229214182
unity_webgpu_000002778F740030.fs,msl,2814.6903125,2812.405375,2817.78975
unity_webgpu_000002778F740030.fs.spv,msl,2420.5745,2419.076722222222,2423.476611111111
arrays,parse,34.457482401850456,34.435630952380954,34.49317346938775
atan2-const-eval,parse,18397.49075,18385.7915,18415.5745
atomic_add,parse,28.758629667487686,28.740170634920638,28.777166335978837
branches,parse,61.71714558718224,61.679232735518454,61.75178061224489
cluster-lights,parse,315.2445231481481,314.5558452380953,315.6838333333333
empty_compute,parse,2.908639669402645,2.907376354489164,2.909410588235294
loop_accum,parse,28.9533237012987,28.916139455782314,28.993803813833228
mat_vec,parse,24.12487707410237,24.114831202046037,24.13850711053652
metaball-isosurface,parse,659.4673103448276,658.6553079268292,660.3977551020408
particles,parse,406.559876227209,405.72927142857145,407.3039620253164
shadow-fragment,parse,108.32049583333334,108.1000172413793,108.48284134615385
skinned-shadowed-pbr-fragment,parse,1121.445527777778,1120.4155833333334,1122.6452777777777
skinned-shadowed-pbr-vertex,parse,175.807037962963,175.5202033898305,176.00501465201467
texture_sample,parse,23.37733161764706,23.36359887254902,23.389082004446315
torture-big-array,parse,4018.4742,4015.8204,4020.6252000000004
torture-big-expr,parse,34116.999,34105.012,34136.14
torture-deep-nest,parse,423.13100344827586,422.63277500000004,423.42444
torture-many-bindings,parse,366.52860679824556,366.2948125,366.8672886409061
uniform_struct,parse,21.685367097115858,21.671774436090224,21.700059891107077
